"ID","Total.Enrollment","Female","Male","Asian","Black","Hispanic","White","Disabilities","English.Language.Learners","Poverty","Economic.Needs.Index","MAT_num_tested","MAT_mean_score","ELA_num_tested","ELA_mean_score"
"01M015 2013",177,0.514,0.486,0.085,0.356,0.525,0.017,0.311,0.119,1,NA,71,276,71,48
"01M015 2014",190,0.489,0.511,0.047,0.379,0.547,0.016,0.342,0.1,1,NA,63,278,63,43
"01M015 2015",183,0.459,0.541,0.044,0.355,0.585,0.011,0.35,0.093,1,0.93,58,278,56,47
"01M015 2016",176,0.472,0.528,0.051,0.324,0.597,0.011,0.341,0.091,1,0.889,52,286,51,57
"01M015 2017",178,0.466,0.534,0.079,0.287,0.59,0.022,0.27,0.067,1,0.877,69,307,67,72
"01M019 2013",302,0.51,0.49,0.146,0.228,0.497,0.109,0.262,0.086,0.755,NA,114,301,112,60
"01M019 2014",285,0.495,0.505,0.144,0.196,0.519,0.105,0.312,0.088,0.747,NA,104,308,103,65
"01M019 2015",270,0.489,0.511,0.111,0.174,0.585,0.1,0.304,0.067,0.741,0.605,90,318,89,72
"01M019 2016",270,0.463,0.537,0.1,0.204,0.626,0.059,0.304,0.048,0.804,0.625,93,316,94,79
"01M019 2017",271,0.469,0.531,0.089,0.188,0.664,0.055,0.31,0.033,0.764,0.578,84,315,87,80
"01M020 2013",620,0.455,0.545,0.324,0.082,0.532,0.04,0.197,0.173,1,NA,231,296,227,58
"01M020 2014",631,0.483,0.517,0.353,0.086,0.498,0.038,0.228,0.165,1,NA,233,298,229,54
"01M020 2015",633,0.476,0.524,0.365,0.084,0.488,0.039,0.227,0.19,1,0.718,243,293,240,57
"01M020 2016",581,0.477,0.523,0.351,0.079,0.492,0.041,0.212,0.151,1,0.674,220,297,219,65
"01M020 2017",540,0.491,0.509,0.324,0.096,0.489,0.05,0.206,0.172,1,0.668,208,292,208,61
"01M034 2013",413,0.489,0.511,0.068,0.247,0.642,0.031,0.322,0.082,0.954,NA,264,300,259,58
"01M034 2014",393,0.499,0.501,0.066,0.275,0.626,0.031,0.328,0.064,0.949,NA,264,298,264,56
"01M034 2015",395,0.504,0.496,0.063,0.278,0.62,0.035,0.301,0.066,0.965,0.856,254,295,247,60
"01M034 2016",394,0.508,0.492,0.046,0.287,0.632,0.036,0.31,0.074,0.975,0.856,249,291,247,63
"01M034 2017",350,0.486,0.514,0.054,0.291,0.617,0.031,0.343,0.077,0.994,0.86,212,291,218,64
"01M063 2013",174,0.477,0.523,0.069,0.241,0.586,0.098,0.282,0.04,0.833,NA,62,286,62,53
"01M063 2014",179,0.52,0.48,0.073,0.251,0.564,0.095,0.33,0.045,0.81,NA,53,301,51,54
"01M063 2015",199,0.492,0.508,0.07,0.206,0.623,0.101,0.342,0.035,0.834,0.693,50,300,50,57
"01M063 2016",203,0.493,0.507,0.044,0.197,0.645,0.103,0.32,0.03,0.847,0.705,48,311,48,76
"01M063 2017",200,0.485,0.515,0.04,0.185,0.645,0.105,0.345,0.03,0.835,0.69,65,309,63,88
"01M064 2013",314,0.427,0.573,0.07,0.223,0.621,0.073,0.395,0.086,0.85,NA,112,282,110,51
"01M064 2014",287,0.432,0.568,0.059,0.226,0.603,0.094,0.345,0.066,0.902,NA,113,294,112,52
"01M064 2015",282,0.426,0.574,0.071,0.181,0.656,0.074,0.33,0.064,0.943,0.834,119,296,117,55
"01M064 2016",258,0.407,0.593,0.074,0.19,0.655,0.074,0.329,0.058,0.93,0.822,115,295,111,62
"01M064 2017",247,0.421,0.579,0.053,0.194,0.676,0.065,0.312,0.04,0.964,0.818,101,297,99,66
"01M110 2013",412,0.532,0.468,0.117,0.112,0.442,0.289,0.148,0.053,0.536,NA,167,322,167,77
"01M110 2014",416,0.483,0.517,0.137,0.096,0.44,0.279,0.168,0.048,0.531,NA,167,321,167,70
"01M110 2015",419,0.484,0.516,0.129,0.098,0.444,0.291,0.162,0.021,0.518,0.462,167,325,167,72
"01M110 2016",394,0.477,0.523,0.16,0.099,0.431,0.269,0.16,0.013,0.541,0.476,195,326,195,82
"01M110 2017",383,0.467,0.533,0.183,0.097,0.42,0.274,0.136,0.052,0.574,0.479,176,337,178,95
"01M134 2013",352,0.506,0.494,0.281,0.182,0.506,0.028,0.21,0.173,0.866,NA,151,298,147,54
"01M134 2014",318,0.478,0.522,0.264,0.198,0.509,0.028,0.28,0.148,0.925,NA,138,303,138,56
"01M134 2015",255,0.463,0.537,0.255,0.192,0.522,0.031,0.322,0.129,0.933,0.816,118,303,117,52
"01M134 2016",263,0.475,0.525,0.213,0.202,0.551,0.027,0.373,0.118,0.928,0.817,113,299,112,62
"01M134 2017",354,0.483,0.517,0.155,0.201,0.602,0.028,0.387,0.093,0.898,0.822,161,285,162,51
"01M140 2013",410,0.471,0.529,0.056,0.149,0.773,0.02,0.29,0.154,1,NA,254,280,253,46
"01M140 2014",393,0.494,0.506,0.056,0.127,0.789,0.025,0.349,0.14,1,NA,257,285,255,48
"01M140 2015",380,0.521,0.479,0.055,0.105,0.795,0.039,0.353,0.171,1,0.834,243,288,236,48
"01M140 2016",376,0.5,0.5,0.053,0.125,0.777,0.035,0.351,0.144,1,0.855,244,286,242,57
"01M140 2017",382,0.476,0.524,0.047,0.118,0.796,0.029,0.319,0.118,1,0.827,235,281,241,60
"01M142 2013",416,0.474,0.526,0.075,0.142,0.743,0.022,0.286,0.099,0.983,NA,167,292,167,54
"01M142 2014",384,0.453,0.547,0.063,0.138,0.742,0.018,0.31,0.083,0.977,NA,155,292,153,49
"01M142 2015",386,0.464,0.536,0.054,0.142,0.762,0.016,0.303,0.104,0.964,0.851,165,285,163,48
"01M142 2016",354,0.452,0.548,0.065,0.113,0.782,0.023,0.373,0.085,0.963,0.85,140,291,144,58
"01M142 2017",356,0.455,0.545,0.048,0.118,0.801,0.011,0.32,0.09,0.978,0.852,127,294,128,67
"01M184 2013",689,0.505,0.495,0.794,0.038,0.07,0.089,0.09,0.129,0.692,NA,379,339,375,91
"01M184 2014",668,0.503,0.497,0.783,0.03,0.081,0.082,0.114,0.136,0.71,NA,375,344,374,91
"01M184 2015",665,0.508,0.492,0.75,0.032,0.087,0.087,0.128,0.174,0.69,0.532,365,344,359,91
"01M184 2016",663,0.499,0.501,0.71,0.036,0.116,0.086,0.183,0.173,0.706,0.537,387,345,376,90
"01M184 2017",672,0.491,0.509,0.696,0.045,0.121,0.085,0.19,0.162,0.685,0.516,409,340,406,88
"01M188 2013",470,0.451,0.549,0.023,0.264,0.668,0.043,0.213,0.162,1,NA,307,280,299,43
"01M188 2014",501,0.463,0.537,0.024,0.279,0.653,0.042,0.281,0.152,1,NA,311,287,302,46
"01M188 2015",482,0.475,0.525,0.019,0.313,0.616,0.05,0.272,0.147,1,0.908,306,290,300,44
"01M188 2016",489,0.442,0.558,0.018,0.297,0.638,0.043,0.299,0.157,1,0.921,283,296,277,55
"01M188 2017",445,0.438,0.562,0.022,0.317,0.625,0.034,0.306,0.144,1,0.923,278,290,273,52
"01M292 2013",388,0.384,0.616,0.126,0.276,0.549,0.021,0.291,0.211,0.853,NA,75,254,71,19
"01M292 2014",323,0.399,0.601,0.136,0.26,0.533,0.031,0.331,0.198,0.839,NA,57,260,59,28
"01M292 2015",255,0.376,0.624,0.125,0.259,0.557,0.035,0.325,0.118,0.89,0.84,37,257,36,32
"01M292 2016",185,0.368,0.632,0.119,0.265,0.573,0.032,0.346,0.141,0.881,0.873,20,262,20,44
"01M301 2013",165,0.394,0.606,0.073,0.255,0.606,0.042,0.382,0.055,0.867,NA,141,280,141,46
"01M301 2014",158,0.399,0.601,0.101,0.247,0.595,0.032,0.361,0.057,0.911,NA,143,277,139,49
"01M301 2015",149,0.45,0.55,0.081,0.268,0.584,0.034,0.403,0.067,0.866,0.788,136,273,136,50
"01M301 2016",156,0.487,0.513,0.077,0.288,0.551,0.045,0.385,0.064,0.814,0.789,138,269,140,61
"01M301 2017",127,0.472,0.528,0.087,0.323,0.512,0.047,0.449,0.047,0.756,0.74,107,272,109,61
"01M315 2013",263,0.437,0.563,0.095,0.099,0.262,0.471,0.285,0.027,0.319,NA,77,308,78,70
"01M315 2014",276,0.431,0.569,0.08,0.12,0.243,0.493,0.286,0.007,0.322,NA,75,323,78,70
"01M315 2015",289,0.453,0.547,0.1,0.111,0.221,0.509,0.246,0.014,0.287,0.326,78,323,78,78
"01M315 2016",299,0.482,0.518,0.094,0.087,0.207,0.548,0.197,0.007,0.221,0.267,84,328,85,81
"01M315 2017",315,0.492,0.508,0.102,0.054,0.194,0.584,0.178,0.013,0.219,0.252,106,321,105,84
"01M332 2013",117,0.453,0.547,0.034,0.214,0.735,0,0.282,0.188,0.932,NA,102,275,95,41
"01M332 2014",100,0.46,0.54,0.05,0.17,0.75,0,0.28,0.24,0.94,NA,95,276,91,43
"01M332 2015",86,0.465,0.535,0.047,0.209,0.663,0.047,0.407,0.128,0.872,0.769,82,277,74,45
"01M332 2016",110,0.445,0.555,0.055,0.273,0.627,0.036,0.391,0.145,0.873,0.732,95,272,91,58
"01M332 2017",234,0.436,0.564,0.094,0.286,0.568,0.047,0.462,0.098,0.876,0.8,176,270,175,58
"01M361 2013",258,0.57,0.43,0.151,0.163,0.306,0.364,0.225,0.058,0.5,NA,101,299,101,66
"01M361 2014",258,0.527,0.473,0.143,0.12,0.326,0.395,0.256,0.043,0.481,NA,105,308,104,70
"01M361 2015",255,0.51,0.49,0.114,0.114,0.361,0.396,0.239,0.051,0.467,0.419,89,314,89,79
"01M361 2016",267,0.483,0.517,0.101,0.105,0.39,0.382,0.243,0.067,0.479,0.423,76,318,76,85
"01M361 2017",295,0.475,0.525,0.102,0.098,0.386,0.366,0.217,0.041,0.481,0.455,83,309,85,85
"01M363 2013",304,0.51,0.49,0.112,0.135,0.296,0.434,0.293,0.039,0.47,NA,113,302,110,63
"01M363 2014",300,0.473,0.527,0.097,0.143,0.307,0.433,0.28,0.033,0.447,NA,74,311,76,63
"01M363 2015",302,0.477,0.523,0.073,0.149,0.288,0.477,0.258,0.043,0.401,0.407,37,305,41,67
"01M363 2016",313,0.457,0.543,0.054,0.128,0.342,0.45,0.246,0.035,0.39,0.397,32,300,33,65
"01M363 2017",304,0.487,0.513,0.049,0.109,0.345,0.467,0.217,0.033,0.398,0.399,29,299,28,69
"01M364 2013",322,0.478,0.522,0.099,0.099,0.345,0.382,0.168,0.037,0.46,NA,96,299,95,69
"01M364 2014",318,0.494,0.506,0.101,0.113,0.318,0.387,0.195,0.038,0.415,NA,70,315,70,79
"01M364 2015",321,0.498,0.502,0.075,0.14,0.34,0.38,0.231,0.047,0.433,0.413,42,318,42,84
"01M364 2016",340,0.479,0.521,0.074,0.126,0.353,0.374,0.25,0.056,0.462,0.414,43,315,43,83
"01M364 2017",331,0.492,0.508,0.06,0.13,0.341,0.384,0.239,0.051,0.495,0.446,38,298,39,79
"01M378 2013",250,0.452,0.548,0.1,0.236,0.62,0.028,0.292,0.136,0.692,NA,229,296,225,50
"01M378 2014",244,0.459,0.541,0.131,0.209,0.623,0.016,0.279,0.16,0.713,NA,219,294,218,52
"01M378 2015",235,0.447,0.553,0.162,0.23,0.562,0.026,0.328,0.136,0.723,0.763,206,299,203,52
"01M378 2016",264,0.443,0.557,0.152,0.223,0.583,0.019,0.333,0.076,0.693,0.758,227,302,226,60
"01M378 2017",283,0.445,0.555,0.145,0.272,0.551,0.018,0.364,0.102,0.661,0.74,233,292,230,58
"01M450 2013",636,0.473,0.527,0.099,0.234,0.558,0.09,0.281,0.028,0.775,NA,216,304,217,67
"01M450 2014",649,0.493,0.507,0.099,0.225,0.57,0.094,0.29,0.018,0.749,NA,234,311,237,70
"01M450 2015",666,0.47,0.53,0.093,0.215,0.565,0.108,0.275,0.012,0.742,0.6,209,316,214,74
"01M450 2016",677,0.493,0.507,0.108,0.205,0.533,0.12,0.282,0.009,0.696,0.587,204,316,210,76
"01M450 2017",699,0.479,0.521,0.112,0.18,0.545,0.133,0.282,0.006,0.67,0.569,210,309,233,78
"01M539 2013",NA,0.508,0.492,0.299,0.103,0.126,0.441,0.035,0.002,0.291,NA,743,358,743,115
"01M539 2014",NA,0.513,0.487,0.324,0.093,0.113,0.43,0.039,0.003,0.278,NA,588,359,763,115
"01M539 2015",NA,0.515,0.485,0.333,0.091,0.11,0.416,0.038,0.001,0.282,0.26,586,365,745,115
"01M539 2016",NA,0.505,0.495,0.33,0.087,0.113,0.418,0.047,0.004,0.273,0.254,579,366,707,114
"01M539 2017",NA,0.496,0.504,0.332,0.08,0.111,0.413,0.059,0.004,0.25,0.23,597,364,710,118
"01M839 2013",383,0.546,0.454,0.217,0.146,0.457,0.159,0.243,0.047,0.713,NA,366,308,366,70
"01M839 2014",377,0.541,0.459,0.228,0.154,0.422,0.172,0.268,0.048,0.692,NA,337,316,340,74
"01M839 2015",368,0.519,0.481,0.22,0.144,0.405,0.193,0.261,0.035,0.693,0.596,252,316,274,77
"01M839 2016",371,0.526,0.474,0.235,0.159,0.372,0.202,0.243,0.03,0.693,0.581,249,312,266,79
"01M839 2017",374,0.535,0.465,0.265,0.16,0.353,0.193,0.27,0.037,0.663,0.564,237,310,253,82
"02M001 2013",515,0.466,0.534,0.695,0.118,0.179,0.004,0.181,0.365,1,NA,213,312,200,67
"02M001 2014",496,0.476,0.524,0.681,0.111,0.196,0.002,0.2,0.325,1,NA,211,318,216,63
"02M001 2015",465,0.46,0.54,0.667,0.112,0.204,0.013,0.174,0.314,1,0.719,204,321,202,65
"02M001 2016",400,0.472,0.527,0.642,0.123,0.218,0.01,0.252,0.25,1,0.701,185,320,182,71
"02M001 2017",356,0.5,0.5,0.607,0.115,0.236,0.031,0.242,0.233,1,0.673,155,320,153,75
"02M002 2013",823,0.484,0.516,0.846,0.056,0.079,0.019,0.147,0.443,0.957,NA,379,323,367,70
"02M002 2014",822,0.477,0.523,0.86,0.043,0.08,0.017,0.164,0.471,0.964,NA,374,327,373,68
"02M002 2015",760,0.467,0.533,0.857,0.043,0.084,0.016,0.18,0.417,0.974,0.838,352,324,340,72
"02M002 2016",672,0.466,0.534,0.853,0.04,0.094,0.012,0.204,0.359,0.966,0.814,343,329,335,77
"02M002 2017",603,0.469,0.531,0.808,0.056,0.124,0.012,0.197,0.32,0.96,0.802,313,331,310,82
"02M003 2013",782,0.485,0.515,0.077,0.056,0.146,0.655,0.17,0.035,0.168,NA,326,324,323,89
"02M003 2014",808,0.488,0.512,0.071,0.051,0.131,0.681,0.193,0.038,0.158,NA,328,329,328,87
"02M003 2015",809,0.486,0.514,0.064,0.054,0.117,0.698,0.185,0.043,0.163,0.16,354,331,357,87
"02M003 2016",789,0.475,0.525,0.071,0.053,0.123,0.701,0.193,0.043,0.167,0.14,307,335,308,93
"02M003 2017",778,0.505,0.495,0.067,0.054,0.135,0.692,0.176,0.041,0.145,0.134,341,332,335,92
"02M006 2013",782,0.465,0.535,0.098,0.027,0.104,0.707,0.173,0.026,0.084,NA,364,338,361,97
"02M006 2014",751,0.471,0.529,0.104,0.023,0.088,0.731,0.174,0.015,0.059,NA,354,341,356,93
"02M006 2015",726,0.461,0.539,0.113,0.025,0.074,0.753,0.169,0.025,0.076,0.11,333,344,330,99
"02M006 2016",700,0.459,0.541,0.13,0.021,0.071,0.751,0.193,0.019,0.066,0.104,355,345,351,105
"02M006 2017",683,0.483,0.517,0.13,0.02,0.073,0.75,0.157,0.032,0.064,0.095,332,347,330,105
"02M011 2013",756,0.472,0.528,0.131,0.114,0.279,0.455,0.135,0.03,0.358,NA,303,328,301,84
"02M011 2014",820,0.455,0.545,0.128,0.095,0.27,0.485,0.149,0.03,0.318,NA,335,325,331,82
"02M011 2015",872,0.448,0.552,0.127,0.073,0.278,0.486,0.146,0.036,0.292,0.298,374,330,372,86
"02M011 2016",921,0.471,0.529,0.144,0.068,0.254,0.491,0.138,0.035,0.282,0.296,451,332,447,92
"02M011 2017",931,0.498,0.502,0.149,0.073,0.241,0.492,0.124,0.034,0.279,0.273,462,328,460,92
"02M033 2013",516,0.506,0.494,0.238,0.159,0.355,0.202,0.114,0.07,0.605,NA,187,316,184,77
"02M033 2014",576,0.517,0.483,0.25,0.146,0.297,0.243,0.123,0.056,0.521,NA,233,327,233,80
"02M033 2015",634,0.506,0.494,0.249,0.118,0.311,0.254,0.123,0.052,0.495,0.423,276,335,276,84
"02M033 2016",639,0.505,0.495,0.252,0.119,0.297,0.264,0.13,0.039,0.466,0.392,284,334,282,93
"02M033 2017",622,0.519,0.481,0.228,0.143,0.286,0.256,0.133,0.032,0.457,0.408,285,332,284,99
"02M040 2013",649,0.505,0.495,0.112,0.028,0.131,0.673,0.145,0.022,0.108,NA,261,332,255,90
"02M040 2014",594,0.476,0.524,0.099,0.032,0.136,0.67,0.172,0.012,0.116,NA,266,337,265,92
"02M040 2015",624,0.502,0.498,0.091,0.029,0.136,0.643,0.183,0.014,0.087,0.121,276,341,275,98
"02M040 2016",631,0.513,0.487,0.086,0.029,0.133,0.637,0.182,0.025,0.084,0.112,279,344,274,108
"02M040 2017",650,0.517,0.483,0.108,0.028,0.143,0.618,0.166,0.038,0.083,0.111,287,346,279,109
"02M041 2013",801,0.514,0.486,0.102,0.017,0.095,0.727,0.18,0.022,0.065,NA,382,333,378,90
"02M041 2014",791,0.513,0.487,0.1,0.024,0.09,0.712,0.183,0.015,0.051,NA,381,341,379,93
"02M041 2015",757,0.513,0.487,0.094,0.021,0.095,0.684,0.169,0.012,0.041,0.058,365,344,365,99
"02M041 2016",721,0.52,0.48,0.092,0.018,0.096,0.691,0.168,0.019,0.04,0.052,327,342,328,103
"02M041 2017",699,0.542,0.458,0.082,0.019,0.089,0.691,0.153,0.014,0.044,0.051,342,342,340,104
"02M042 2013",820,0.479,0.521,0.941,0.01,0.034,0.013,0.12,0.349,1,NA,349,338,335,78
"02M042 2014",792,0.457,0.543,0.936,0.013,0.033,0.019,0.134,0.302,1,NA,358,344,346,77
"02M042 2015",776,0.461,0.539,0.923,0.009,0.037,0.026,0.152,0.296,1,0.756,381,339,370,81
"02M042 2016",737,0.463,0.537,0.931,0.003,0.041,0.02,0.166,0.274,1,0.729,387,343,381,86
"02M042 2017",654,0.477,0.523,0.914,0.006,0.052,0.021,0.165,0.321,1,0.704,327,341,320,85
"02M051 2013",274,0.449,0.551,0.175,0.106,0.569,0.109,0.296,0.106,1,NA,141,306,140,60
"02M051 2014",304,0.464,0.536,0.194,0.132,0.497,0.145,0.306,0.118,1,NA,143,308,140,67
"02M051 2015",350,0.491,0.509,0.211,0.123,0.474,0.171,0.26,0.123,1,0.582,150,311,146,64
"02M051 2016",370,0.476,0.524,0.235,0.122,0.424,0.197,0.251,0.095,1,0.473,140,309,138,70
"02M051 2017",389,0.535,0.465,0.208,0.121,0.455,0.201,0.221,0.098,1,0.471,150,316,144,82
"02M059 2013",593,0.472,0.528,0.128,0.032,0.157,0.605,0.135,0.078,0.157,NA,276,330,270,89
"02M059 2014",598,0.48,0.52,0.11,0.03,0.156,0.624,0.161,0.067,0.12,NA,276,338,272,94
"02M059 2015",596,0.458,0.542,0.131,0.023,0.143,0.604,0.178,0.047,0.111,0.071,290,340,284,92
"02M059 2016",573,0.476,0.524,0.154,0.021,0.129,0.593,0.183,0.04,0.115,0.07,282,342,278,101
"02M059 2017",576,0.49,0.51,0.165,0.019,0.115,0.599,0.181,0.038,0.095,0.049,249,336,245,101
"02M077 2013",350,0.537,0.463,0.177,0.014,0.074,0.663,0.134,0,0.057,NA,176,356,175,108
"02M077 2014",348,0.54,0.46,0.213,0.009,0.075,0.624,0.126,0,0.066,NA,175,355,176,112
"02M077 2015",350,0.526,0.474,0.226,0.009,0.063,0.623,0.129,0,0.051,0.079,174,354,175,114
"02M077 2016",345,0.507,0.493,0.27,0.003,0.052,0.586,0.116,0,0.043,0.063,174,361,174,119
"02M077 2017",359,0.499,0.501,0.301,0.003,0.047,0.543,0.111,0.003,0.042,0.071,181,363,181,124
"02M089 2013",485,0.476,0.524,0.146,0.023,0.14,0.61,0.142,0.045,0.049,NA,215,328,212,86
"02M089 2014",472,0.462,0.538,0.138,0.015,0.153,0.629,0.18,0.032,0.04,NA,172,334,173,90
"02M089 2015",442,0.482,0.518,0.145,0.023,0.149,0.62,0.158,0.043,0.038,0.066,155,344,153,93
"02M089 2016",425,0.459,0.541,0.165,0.019,0.144,0.621,0.165,0.045,0.035,0.058,157,343,153,102
"02M089 2017",412,0.483,0.517,0.163,0.022,0.16,0.609,0.16,0.039,0.029,0.058,176,341,176,101
"02M104 2013",NA,0.462,0.538,0.564,0.088,0.174,0.164,0.17,0.074,0.708,NA,992,323,984,78
"02M104 2014",NA,0.471,0.529,0.503,0.099,0.191,0.194,0.178,0.07,0.666,NA,919,323,970,79
"02M104 2015",NA,0.482,0.518,0.446,0.089,0.201,0.244,0.171,0.064,0.622,0.508,960,324,1018,81
"02M104 2016",NA,0.439,0.561,0.396,0.081,0.211,0.28,0.179,0.047,0.558,0.438,950,326,1044,85
"02M104 2017",NA,0.449,0.551,0.36,0.075,0.188,0.339,0.17,0.046,0.457,0.355,927,325,1046,90
"02M111 2013",565,0.524,0.476,0.106,0.135,0.609,0.138,0.29,0.181,1,NA,365,289,351,51
"02M111 2014",533,0.503,0.497,0.122,0.163,0.576,0.122,0.287,0.156,1,NA,320,293,307,50
"02M111 2015",465,0.508,0.492,0.148,0.163,0.553,0.114,0.295,0.116,1,0.611,247,296,244,57
"02M111 2016",393,0.489,0.511,0.181,0.16,0.496,0.127,0.298,0.122,1,0.519,187,302,182,71
"02M111 2017",334,0.473,0.527,0.171,0.141,0.47,0.186,0.246,0.153,1,0.528,142,299,131,72
"02M114 2013",469,0.597,0.403,0.134,0.034,0.107,0.721,0.16,0.002,0.156,NA,459,346,460,102
"02M114 2014",443,0.524,0.476,0.122,0.034,0.099,0.729,0.16,0,0.14,NA,434,354,434,101
"02M114 2015",449,0.514,0.486,0.147,0.031,0.102,0.679,0.163,0,0.114,0.106,443,359,443,104
"02M114 2016",441,0.522,0.478,0.15,0.029,0.091,0.658,0.145,0,0.093,0.084,431,363,431,112
"02M114 2017",443,0.521,0.479,0.14,0.032,0.09,0.652,0.156,0,0.07,0.078,437,362,437,113
"02M116 2013",775,0.503,0.497,0.201,0.108,0.191,0.44,0.155,0.07,0.366,NA,363,326,356,89
"02M116 2014",724,0.508,0.492,0.191,0.087,0.22,0.432,0.155,0.091,0.373,NA,345,329,338,87
"02M116 2015",696,0.493,0.507,0.188,0.095,0.208,0.444,0.157,0.085,0.361,0.291,319,321,312,84
"02M116 2016",638,0.489,0.511,0.197,0.088,0.216,0.436,0.169,0.107,0.348,0.28,328,319,314,89
"02M116 2017",585,0.487,0.513,0.209,0.108,0.21,0.41,0.191,0.096,0.359,0.284,276,319,264,87
"02M124 2013",915,0.462,0.538,0.934,0.016,0.028,0.015,0.097,0.289,1,NA,425,329,413,88
"02M124 2014",866,0.454,0.546,0.938,0.008,0.033,0.015,0.099,0.321,1,NA,420,338,420,87
"02M124 2015",864,0.45,0.55,0.943,0.006,0.03,0.017,0.095,0.325,1,0.555,418,337,415,88
"02M124 2016",810,0.46,0.54,0.947,0.004,0.027,0.015,0.102,0.294,1,0.54,394,339,391,91
"02M124 2017",785,0.487,0.513,0.944,0.003,0.02,0.015,0.108,0.304,1,0.538,364,340,353,94
"02M126 2013",815,0.498,0.502,0.546,0.087,0.234,0.125,0.163,0.2,0.753,NA,531,324,530,78
"02M126 2014",841,0.501,0.499,0.561,0.098,0.232,0.1,0.166,0.188,0.79,NA,424,325,531,79
"02M126 2015",811,0.498,0.502,0.555,0.113,0.218,0.095,0.168,0.212,0.789,0.72,392,325,502,78
"02M126 2016",759,0.478,0.522,0.586,0.111,0.207,0.076,0.186,0.171,0.801,0.719,399,328,495,84
"02M126 2017",791,0.468,0.532,0.595,0.099,0.201,0.078,0.174,0.177,0.794,0.705,422,328,519,84
"02M130 2013",988,0.48,0.52,0.874,0.008,0.048,0.047,0.127,0.188,1,NA,454,331,451,84
"02M130 2014",999,0.47,0.53,0.871,0.009,0.047,0.047,0.128,0.15,1,NA,431,339,426,89
"02M130 2015",999,0.479,0.521,0.875,0.01,0.044,0.045,0.128,0.17,1,0.602,442,342,437,88
"02M130 2016",970,0.485,0.515,0.879,0.009,0.051,0.034,0.131,0.13,1,0.596,472,344,469,96
"02M130 2017",962,0.492,0.508,0.883,0.01,0.048,0.033,0.141,0.147,1,0.584,509,348,506,99
"02M131 2013",460,0.435,0.565,0.748,0.096,0.146,0.009,0.239,0.461,0.937,NA,445,307,394,45
"02M131 2014",445,0.47,0.53,0.751,0.099,0.146,0.002,0.227,0.449,0.969,NA,414,317,381,47
"02M131 2015",406,0.47,0.53,0.8,0.081,0.116,0.002,0.271,0.419,0.953,0.825,392,318,362,54
"02M131 2016",420,0.44,0.56,0.771,0.081,0.143,0.005,0.274,0.345,0.955,0.8,374,315,340,61
"02M131 2017",457,0.422,0.578,0.836,0.057,0.094,0.007,0.234,0.344,0.934,0.777,415,320,386,67
"02M150 2013",190,0.5,0.5,0.132,0.058,0.174,0.595,0.179,0.021,0.142,NA,82,323,82,98
"02M150 2014",184,0.489,0.511,0.12,0.098,0.152,0.56,0.158,0.027,0.168,NA,79,324,78,90
"02M150 2015",184,0.478,0.522,0.125,0.076,0.147,0.543,0.174,0.033,0.158,0.183,80,336,80,100
"02M150 2016",184,0.473,0.527,0.158,0.054,0.136,0.549,0.152,0.022,0.141,0.158,76,341,75,106
"02M150 2017",186,0.484,0.516,0.161,0.038,0.118,0.57,0.145,0.027,0.086,0.137,74,344,76,112
"02M151 2013",373,0.442,0.558,0.083,0.118,0.276,0.496,0.172,0.062,0.37,NA,82,317,80,83
"02M151 2014",485,0.474,0.526,0.064,0.13,0.247,0.501,0.171,0.064,0.363,NA,151,315,149,72
"02M151 2015",572,0.477,0.523,0.07,0.14,0.25,0.47,0.189,0.073,0.388,0.334,275,323,274,76
"02M151 2016",548,0.48,0.52,0.066,0.141,0.27,0.467,0.206,0.064,0.407,0.342,275,326,267,87
"02M151 2017",537,0.505,0.495,0.063,0.143,0.244,0.492,0.168,0.048,0.4,0.34,277,323,276,87
"02M158 2013",775,0.495,0.505,0.097,0.032,0.117,0.719,0.188,0.025,0.154,NA,336,332,331,88
"02M158 2014",747,0.494,0.506,0.104,0.04,0.103,0.716,0.217,0.035,0.133,NA,328,339,324,95
"02M158 2015",761,0.497,0.503,0.109,0.038,0.109,0.707,0.187,0.042,0.133,0.116,293,347,285,101
"02M158 2016",763,0.489,0.511,0.109,0.038,0.098,0.713,0.181,0.051,0.117,0.103,306,344,301,106
"02M158 2017",781,0.47,0.53,0.127,0.023,0.077,0.722,0.152,0.055,0.105,0.085,305,343,299,108
"02M167 2013",NA,0.458,0.542,0.286,0.09,0.247,0.373,0.155,0.04,0.498,NA,1183,322,1173,80
"02M167 2014",NA,0.464,0.536,0.281,0.083,0.231,0.385,0.167,0.046,0.472,NA,1292,327,1274,80
"02M167 2015",NA,0.467,0.533,0.275,0.097,0.218,0.383,0.184,0.045,0.471,0.352,1171,329,1258,83
"02M167 2016",NA,0.472,0.528,0.277,0.083,0.187,0.418,0.187,0.039,0.442,0.314,1165,335,1251,88
"02M167 2017",NA,0.475,0.525,0.233,0.081,0.173,0.47,0.154,0.038,0.333,0.265,1173,336,1263,92
"02M177 2015",56,0.446,0.554,0.125,0.089,0.286,0.429,0.286,0.036,0.357,0.253,54,337,54,83
"02M177 2016",142,0.451,0.549,0.113,0.106,0.296,0.423,0.296,0.014,0.373,0.237,130,333,131,83
"02M177 2017",213,0.484,0.516,0.099,0.103,0.268,0.479,0.268,0.014,0.282,0.206,172,328,196,91
