"ID","Total.Enrollment","Female","Male","Asian","Black","Hispanic","White","Disabilities","English.Language.Learners","Poverty","Economic.Needs.Index","MAT_num_tested","MAT_mean_score","ELA_num_tested","ELA_mean_score"
"08X335 2016",282,0.475,0.525,0.007,0.298,0.667,0.011,0.277,0.177,0.936,0.882,111,292,108,61
"08X335 2017",278,0.489,0.511,0,0.27,0.712,0.011,0.295,0.137,0.924,0.88,99,303,98,61
"08X337 2013",283,0.505,0.495,0.018,0.389,0.587,0.004,0.254,0.081,0.671,NA,254,302,251,60
"08X337 2014",319,0.492,0.508,0.009,0.364,0.624,0.003,0.288,0.091,0.765,NA,280,305,280,60
"08X337 2015",398,0.503,0.497,0.035,0.309,0.651,0.005,0.249,0.073,0.744,0.782,348,306,365,67
"08X337 2016",475,0.493,0.507,0.036,0.278,0.678,0.006,0.284,0.086,0.703,0.783,412,312,424,71
"08X337 2017",541,0.503,0.497,0.043,0.238,0.701,0.006,0.264,0.122,0.691,0.76,491,313,487,75
"08X367 2013",581,0.377,0.623,0.04,0.341,0.592,0.017,0.231,0.022,0.883,NA,268,287,268,52
"08X367 2014",637,0.389,0.611,0.066,0.334,0.578,0.017,0.232,0.044,0.812,NA,271,293,271,55
"08X367 2015",637,0.394,0.606,0.072,0.309,0.592,0.02,0.272,0.068,0.848,0.714,253,288,255,58
"08X367 2016",680,0.394,0.606,0.075,0.324,0.579,0.015,0.275,0.074,0.771,0.712,237,279,256,61
"08X367 2017",692,0.405,0.595,0.084,0.318,0.566,0.02,0.257,0.1,0.795,0.692,261,281,271,64
"08X371 2013",289,0.467,0.533,0.048,0.125,0.554,0.273,0.194,0.045,0.723,NA,268,293,270,58
"08X371 2014",290,0.5,0.5,0.041,0.134,0.531,0.286,0.231,0.045,0.745,NA,251,297,273,63
"08X371 2015",290,0.472,0.528,0.038,0.148,0.541,0.269,0.193,0.028,0.745,0.538,260,292,282,68
"08X371 2016",288,0.472,0.528,0.045,0.149,0.59,0.212,0.226,0.035,0.764,0.532,289,297,287,73
"08X371 2017",339,0.454,0.546,0.032,0.142,0.628,0.186,0.206,0.05,0.788,0.491,325,297,324,76
"08X375 2013",305,0.459,0.541,0.046,0.328,0.62,0.007,0.266,0.079,0.957,NA,294,272,291,35
"08X375 2014",284,0.475,0.525,0.025,0.335,0.627,0.014,0.285,0.113,0.968,NA,250,266,254,40
"08X375 2015",278,0.489,0.511,0.029,0.36,0.594,0.014,0.27,0.104,0.964,0.811,261,271,253,43
"08X375 2016",251,0.426,0.574,0.024,0.335,0.633,0,0.263,0.171,0.984,0.842,219,268,232,45
"08X375 2017",239,0.418,0.582,0.017,0.343,0.586,0.017,0.326,0.155,0.992,0.89,231,274,219,51
"08X376 2013",446,0.543,0.457,0.049,0.269,0.675,0.004,0.262,0.094,0.637,NA,233,286,234,56
"08X376 2014",466,0.517,0.483,0.045,0.238,0.706,0.006,0.273,0.099,0.648,NA,210,290,211,54
"08X376 2015",450,0.516,0.484,0.06,0.242,0.682,0.009,0.273,0.109,0.671,0.758,176,277,195,51
"08X376 2016",415,0.516,0.484,0.07,0.224,0.682,0.007,0.263,0.108,0.692,0.777,177,275,176,63
"08X376 2017",420,0.481,0.519,0.071,0.214,0.69,0.012,0.267,0.15,1,0.784,166,275,165,65
"08X424 2013",405,0.469,0.531,0,0.301,0.684,0.015,0.252,0.17,0.921,NA,386,269,375,34
"08X424 2014",361,0.479,0.521,0,0.291,0.698,0.011,0.291,0.197,0.92,NA,360,267,343,36
"08X424 2015",353,0.465,0.535,0.003,0.292,0.7,0.003,0.295,0.249,0.921,0.867,333,268,298,36
"08X424 2016",316,0.472,0.528,0,0.206,0.772,0.013,0.31,0.266,0.949,0.907,294,264,274,37
"08X424 2017",297,0.471,0.529,0.003,0.219,0.764,0,0.306,0.283,0.879,0.891,284,261,264,41
"08X448 2013",293,0.454,0.546,0.024,0.266,0.7,0.003,0.232,0.133,0.744,NA,301,277,288,45
"08X448 2014",305,0.495,0.505,0.026,0.321,0.643,0.01,0.266,0.121,0.803,NA,296,281,305,46
"08X448 2015",348,0.578,0.422,0.032,0.296,0.658,0.009,0.241,0.118,0.724,0.797,315,282,335,50
"08X448 2016",362,0.577,0.423,0.022,0.307,0.652,0.014,0.243,0.11,0.718,0.79,310,285,337,54
"08X448 2017",375,0.56,0.44,0.021,0.315,0.648,0.013,0.251,0.109,0.723,0.787,348,290,341,61
"08X467 2013",275,0.476,0.524,0.022,0.153,0.658,0.164,0.258,0.076,0.796,NA,272,284,267,47
"08X467 2014",262,0.508,0.492,0.027,0.103,0.683,0.187,0.309,0.084,0.798,NA,213,277,244,49
"08X467 2015",225,0.48,0.52,0.018,0.102,0.698,0.182,0.36,0.067,0.769,0.617,170,277,202,47
"08X467 2016",249,0.47,0.53,0.036,0.096,0.691,0.177,0.293,0.056,0.843,0.585,186,278,220,54
"08X467 2017",324,0.432,0.568,0.034,0.139,0.698,0.127,0.253,0.13,0.824,0.603,310,276,300,61
"08X562 2013",96,0.406,0.594,0.115,0.219,0.646,0.021,0.208,0.135,0.885,NA,95,277,91,42
"08X562 2014",201,0.448,0.552,0.169,0.189,0.612,0.02,0.244,0.169,0.871,NA,192,280,191,41
"08X562 2015",306,0.487,0.513,0.199,0.193,0.585,0.013,0.219,0.163,0.797,0.781,281,280,286,45
"08X562 2016",301,0.512,0.488,0.229,0.183,0.558,0.01,0.213,0.153,0.837,0.768,280,285,278,56
"08X562 2017",333,0.508,0.492,0.213,0.147,0.574,0.054,0.198,0.183,0.883,0.742,320,285,304,61
"09X004 2013",539,0.497,0.503,0.006,0.486,0.492,0.009,0.202,0.119,0.968,NA,312,301,306,51
"09X004 2014",507,0.481,0.519,0.004,0.533,0.452,0.008,0.207,0.099,0.984,NA,315,302,307,51
"09X004 2015",548,0.476,0.524,0.004,0.526,0.456,0.009,0.224,0.106,0.965,0.901,309,292,308,48
"09X004 2016",599,0.464,0.536,0.005,0.526,0.452,0.008,0.255,0.124,0.96,0.902,338,295,331,57
"09X004 2017",574,0.467,0.533,0.007,0.547,0.423,0.009,0.24,0.122,0.962,0.902,327,294,315,55
"09X011 2013",758,0.483,0.517,0.005,0.299,0.691,0.003,0.186,0.335,0.949,NA,387,280,372,49
"09X011 2014",755,0.49,0.51,0.004,0.294,0.686,0.009,0.193,0.286,0.948,NA,381,285,368,52
"09X011 2015",739,0.47,0.53,0.003,0.325,0.663,0.007,0.206,0.23,0.972,0.918,368,288,357,52
"09X011 2016",698,0.476,0.524,0.003,0.295,0.691,0.004,0.222,0.252,0.967,0.923,344,288,340,57
"09X011 2017",674,0.504,0.496,0.001,0.269,0.721,0.007,0.223,0.251,0.914,0.9,301,282,294,57
"09X022 2013",673,0.487,0.513,0.015,0.27,0.706,0.007,0.21,0.314,0.963,NA,622,267,608,32
"09X022 2014",570,0.495,0.505,0.016,0.279,0.695,0.009,0.219,0.339,0.918,NA,502,264,504,34
"09X022 2015",487,0.495,0.505,0.012,0.283,0.696,0.004,0.242,0.382,0.973,0.886,444,263,424,34
"09X022 2016",425,0.447,0.553,0.009,0.254,0.722,0.012,0.235,0.372,0.946,0.887,395,271,369,44
"09X022 2017",419,0.444,0.556,0.005,0.205,0.776,0.007,0.212,0.399,0.921,0.872,413,271,368,49
"09X028 2013",732,0.455,0.545,0.008,0.173,0.816,0.001,0.194,0.311,0.993,NA,342,282,326,49
"09X028 2014",736,0.431,0.569,0.004,0.174,0.803,0.003,0.216,0.302,0.996,NA,338,287,319,50
